timestamp,amostra_id,classe,temp,umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100,notas
2026-01-28 07:57:59,01,teste,15,31.41,55.77,465878,710125,1005153,1442762,2163190,3360131,5432360,9230423,18941040,
2026-01-28 07:58:05,01,teste,16,31.43,55.70,467794,708650,1010360,1448886,2156357,3372581,5486939,9293250,19106706,
2026-01-28 07:58:10,01,teste,17,31.42,55.63,471346,716836,1024000,1462857,2201559,3440571,5553898,9340935,19292316,
2026-01-28 07:58:15,01,teste,18,31.43,55.56,472979,720619,1027081,1473912,2192720,3425465,5593718,9470520,19481570,
2026-01-28 07:58:20,01,teste,19,31.43,55.51,476612,724443,1027081,1481910,2235808,3451443,5610959,9470520,19586372,
2026-01-28 07:58:26,01,teste,20,31.42,55.50,476612,720619,1034082,1472322,2185699,3429768,5657458,9454126,19551312,
