Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
65,33.00,52.89,584308,908808,1314928,1954198,2996342,4810334,8064976,13964628,29654298,46266148
66,32.98,52.89,586820,902799,1316195,1962626,2996342,4835892,8017617,13929012,29394932,46119636
67,32.96,52.88,586316,901607,1321290,1945843,2996342,4844470,8059026,14027397,29554002,46217208
68,32.97,52.92,586820,906997,1329007,1962626,2993058,4840178,8059026,14045435,29494150,46364344
69,32.96,52.92,590372,905193,1321290,1961216,2970268,4818824,8000000,13991460,29474252,45925720
70,32.96,52.92,586316,905193,1320013,1959809,3058999,4840178,8082881,14072579,29494150,46071000
71,32.97,52.92,587830,911843,1323853,1955598,2996342,4814576,8041227,14054471,29574008,46413596
72,32.97,52.91,587324,905193,1334202,1965451,2989781,4827342,7982460,14054471,29775556,45974044
73,32.97,52.88,586316,904594,1318738,1961216,2996342,4810334,8011736,13982505,29938784,46661444
74,32.97,52.92,588844,913063,1330302,1962626,3076230,4857397,8041227,14118053,29634184,46512420
75,32.98,52.87,587324,906997,1332900,1954198,3072768,4793446,8035312,14063519,29634184,46168368
76,32.97,52.88,588337,905794,1331600,1964037,3053868,4853080,8064976,14045435,29735028,46119636
77,32.96,52.88,587830,908808,1325138,1955598,2996342,4840178,8047152,14072579,29614098,46119636
78,32.93,52.88,588337,914286,1322570,1959809,3069314,4870392,8094862,14054471,29755278,46761328
79,32.93,52.92,589352,908204,1329007,1968284,3069314,4835892,8076904,14136324,29735028,46413596
80,32.94,52.91,589862,908204,1334202,1972550,3074498,4874740,8076904,14090733,29755278,45829372
81,32.95,52.89,592936,906997,1329007,1984016,3076230,4853080,8076904,14081650,29594040,46119636
82,32.96,52.90,588844,916741,1327715,1969704,3065868,4857397,8059026,14018396,29755278,45306604
83,32.95,52.89,590372,906997,1325138,1954198,3050456,4853080,8053084,14154644,29654298,46266148
84,32.96,52.88,589862,910627,1325138,1962626,3076230,4844470,8070936,14191425,29574008,46119636
85,32.95,52.88,592421,917357,1335507,1975404,3077964,4879094,8070936,13991460,29735028,46611664
86,32.96,52.86,588844,908808,1325138,1971126,3079699,4879094,8088867,14118053,29816196,46611664
87,32.94,52.86,592936,913063,1334202,1984016,3072768,4874740,8100866,14237671,29816196,46761328
88,32.92,52.87,589352,910627,1335507,1985458,3079699,4883458,8131018,14340481,30249712,46911956
89,32.90,52.88,592936,914898,1331600,1972550,3093656,4914217,8155301,14228398,29979872,46861636
90,32.89,52.92,595522,914286,1335507,1976834,3084918,4892206,8173610,14284220,29959314,47012912
91,32.90,52.94,592936,914898,1336815,1986903,3086662,4909799,8167498,14321678,30021072,46071000
92,32.89,52.93,591395,919210,1342071,1973976,3097164,4857397,8112899,14293566,30145354,46168368
93,32.90,52.94,593451,922938,1335507,1986903,3090155,4887828,8143141,14293566,30228782,46962380
94,32.90,52.93,592421,917974,1336815,1988350,3079699,4905389,8204306,14256254,30207882,46119636
95,32.91,52.93,592421,917357,1339438,1981137,3100681,4909799,8149216,14237671,30312674,47524292
96,32.90,52.97,597085,917357,1348699,1992702,3100681,4909799,8179730,14256254,30166168,46811428
97,32.89,52.95,593451,918592,1332900,1986903,3084918,4896593,8185860,14237671,30041714,47114308
98,32.90,52.95,592936,917974,1332900,1991249,3097164,4900987,8155301,14246957,30228782,46962380
99,32.92,52.93,593451,923563,1338125,1995615,3088407,4918643,8167498,14191425,29816196,46661444
100,32.92,52.90,597607,914286,1336815,1981137,3100681,4905389,8179730,14173010,30000458,46711332
101,32.92,52.87,591395,914898,1331600,1985458,3097164,4896593,8118930,14200650,30103812,46413596
