Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
237,34.70,51.33,180155,290414,420793,571588,776493,1119738,1661663,2645140,4981454,7246351
238,34.66,50.92,181496,290661,425780,580828,798285,1132743,1694663,2721595,5097698,7398510
239,34.70,50.66,185038,296211,427112,584809,799688,1146055,1713808,2735226,5107232,7383506
240,34.68,50.74,184638,293915,429801,583310,795031,1149916,1707378,2710788,5097698,7378518
241,34.66,50.65,183250,294676,431430,584809,802980,1150885,1723543,2737968,5155444,7469341
242,34.67,50.60,183447,298021,430342,587324,803452,1146055,1718121,2727031,5126408,7469341
243,34.66,50.48,182857,298542,431703,586820,809646,1157716,1719202,2721595,5155444,7438820
244,34.65,50.68,183447,296726,432524,583808,808687,1149916,1726813,2746229,5165196,7494968
245,34.67,50.74,185038,296726,432798,588337,804873,1159683,1726813,2729757,5140885,7464237
246,34.68,50.65,184040,295697,435559,587830,805348,1150885,1718121,2727031,5140885,7403524
247,34.68,50.60,185038,298542,434451,590372,808208,1162646,1731192,2737968,5174984,7494968
248,34.68,50.59,186657,298804,433898,589352,808208,1152829,1724632,2718885,5160315,7494968
249,34.67,50.67,186047,297501,433898,589352,812054,1159683,1731192,2748993,5170085,7510428
250,34.66,50.63,187066,297761,434727,591908,817402,1161656,1742237,2754539,5214513,7604548
251,34.68,50.62,187066,299065,435282,592421,815936,1160669,1742237,2776949,5209539,7525953
252,34.69,50.63,186047,301709,436395,591908,812054,1163636,1731192,2754539,5204574,7536338
253,34.67,50.65,190760,299328,435282,592421,818872,1165623,1744463,2754539,5224490,7599258
254,34.66,50.61,185239,299590,437233,597085,819364,1165623,1750053,2791142,5254650,7647141
255,34.67,50.41,192699,300646,439768,600234,827809,1175660,1773928,2811256,5310859,7684803
256,34.67,50.39,193353,304128,439202,598655,821830,1176673,1767040,2796859,5290281,7706491
257,34.66,50.57,194123,301976,441189,593968,829318,1172631,1764757,2808365,5326398,7674004
258,34.67,50.76,192481,301176,440904,596042,814962,1164629,1741126,2771312,5229492,7609846
259,34.67,50.86,192264,301442,437794,593968,818382,1172631,1750053,2776949,5214513,7588698
260,34.68,50.93,192481,300381,435559,590883,820842,1170620,1743350,2779776,5214513,7609846
261,34.68,51.01,192264,301176,436674,594485,820348,1175660,1748932,2785447,5229492,7567668
262,34.68,51.04,186861,302511,438920,593968,817402,1169617,1743350,2765699,5264782,7615152
263,34.66,51.10,192807,301442,438920,599707,821336,1165623,1750053,2785447,5269862,7620465
264,34.68,51.08,192048,301442,442046,596042,819364,1172631,1762478,2771312,5224490,7631113
265,34.66,51.07,186250,300911,438920,594485,819856,1165623,1756809,2771312,5249600,7652499
266,34.66,51.08,191187,301976,437794,599707,822820,1175660,1761342,2785447,5249600,7631113
267,34.66,51.12,193244,302779,440335,598655,819364,1168616,1755679,2785447,5264782,7636448
268,34.66,51.15,193135,300646,439485,598131,819856,1174649,1753425,2796859,5259711,7684803
269,34.66,51.17,193244,301442,442046,598655,822325,1175660,1767040,2799726,5254650,7641791
270,34.66,51.17,193463,301176,441189,600763,820348,1177688,1765898,2805480,5285162,7728302
271,34.65,51.20,187271,306312,442907,602885,831338,1192084,1772776,2808365,5326398,7766770
272,34.65,51.27,193573,304943,442907,602353,831338,1183815,1772776,2819966,5305700,7728302
273,34.63,51.32,191187,302511,441760,601292,827809,1192084,1773928,2796859,5290281,7711932
274,34.64,51.37,192699,305489,443482,600234,835918,1181766,1771626,2817056,5295410,7717381
275,34.65,51.38,191187,306037,442907,601822,829822,1179724,1770478,2822881,5274952,7706491
276,34.64,51.40,191724,303318,443194,602353,829318,1187935,1773928,2817056,5321208,7766770
277,34.64,51.36,191724,303587,445217,599707,828814,1187935,1783196,2828729,5310859,7777830
278,34.63,51.33,194013,303858,442907,606096,837457,1192084,1787866,2817056,5347258,7755740
279,34.64,51.37,193903,306312,445217,606096,834386,1199414,1782032,2828729,5389474,7794482
280,34.64,51.38,192481,306587,444059,605559,833876,1185872,1776236,2834602,5331598,7772296
281,34.63,51.36,195569,303858,443482,602885,838485,1187935,1792560,2843457,5357750,7833612
282,34.64,51.39,194566,305489,442619,605559,844188,1188970,1782032,2834602,5336808,7766770
283,34.65,51.38,193903,307692,445799,606096,834896,1200469,1780870,2831663,5321208,7761250
284,34.64,51.38,192590,307970,447259,609887,834896,1191044,1796097,2819966,5384160,7867467
285,34.64,51.39,192916,305489,446966,603418,840033,1202584,1796097,2834602,5410832,7800048
286,34.64,51.41,193683,305763,446674,609342,840033,1190006,1794917,2852368,5357750,7794482
287,34.65,51.41,193353,307415,448729,608799,843666,1196262,1803214,2852368,5378858,7783373
288,34.65,51.43,196696,306862,446382,608257,834386,1192084,1800835,2861334,5378858,7839234
289,34.65,51.43,197037,306312,448434,610432,839000,1199414,1809187,2858339,5389474,7856150
290,34.64,51.44,197607,307692,444637,609887,842625,1210044,1797280,2864336,5378858,7839234
291,34.64,51.45,193353,307970,449912,611526,837971,1199414,1807989,2876404,5384160,7861804
292,34.64,51.44,194899,307970,450803,610978,843145,1202584,1803214,2864336,5437770,7918802
293,34.62,51.46,197607,308806,450209,615940,846806,1206836,1821254,2894700,5475936,8000000
294,34.64,51.43,194899,310774,451698,617053,847858,1217598,1804405,2900850,5481432,8000000
295,34.65,51.44,195457,310209,452897,615385,847331,1221957,1812790,2900850,5481432,7907336
296,34.65,51.43,197379,309085,452597,614277,844188,1210044,1813995,2867343,5464976,7953398
297,34.64,51.46,197836,311057,449320,616496,846806,1213270,1826126,2894700,5486939,8011736
298,34.65,51.48,196810,311910,449616,620418,849969,1213270,1821254,2907026,5481432,7941832
299,34.65,51.53,195794,309366,452297,614830,848912,1216513,1816408,2885523,5481432,7970810
300,34.62,51.50,198181,309927,453800,620982,847858,1220864,1835948,2916340,5514642,8000000
301,34.65,51.52,197037,312481,453198,618171,862316,1224148,1818828,2897772,5454062,7953398
302,34.63,51.50,199922,312481,452897,617612,846281,1212193,1835948,2910124,5514642,8000000
303,34.64,51.51,197264,313629,454707,619855,853156,1220864,1838420,2925714,5509078,7959194
304,34.65,51.48,199688,312767,454707,618731,853156,1217598,1828571,2894700,5509078,7959194
305,34.64,51.52,199106,311625,452897,615385,851559,1216513,1828571,2910124,5492458,8011736
306,34.65,51.56,198066,313918,452597,621548,853156,1217598,1820040,2919458,5548256,8047152
307,34.66,51.54,196244,311910,455922,618731,855293,1228554,1832252,2925714,5520216,8000000
308,34.64,51.54,198411,311910,456531,622114,855293,1220864,1838420,2925714,5565218,8106878
309,34.63,51.52,197379,313054,457756,619855,860143,1231880,1853394,2963820,5587994,8112899
310,34.64,51.53,200391,315368,456837,624390,863406,1231880,1852136,2963820,5587994,8185860
311,34.65,51.52,199222,314786,456226,624390,855830,1240836,1848376,2919458,5553898,8131018
312,34.65,51.49,197951,315077,458371,623820,859060,1234107,1857175,2944644,5605200,8143141
313,34.65,51.49,199922,312767,462720,627836,861228,1231880,1847125,2954201,5553898,8100866
314,34.65,51.49,198758,315077,457143,629573,858520,1234107,1850881,2954201,5576582,8124969
315,34.65,51.55,198990,313054,459605,620982,863406,1232992,1847125,2951009,5576582,8106878
316,34.63,51.52,200981,313054,459605,624390,866695,1238585,1855913,2951009,5663326,8173610
317,34.65,51.52,198758,314207,460535,628993,865596,1235223,1852136,2951009,5616730,8149216
318,34.64,51.49,199805,314786,458371,623820,862316,1234107,1853394,2931997,5582283,8100866
319,34.63,51.49,200156,316245,458987,627836,866695,1240836,1860972,2970268,5616730,8185860
