Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
65,33.84,54.68,471998,740152,1112439,1657628,2506732,4096000,6782860,11778577,24989896,38721420
66,33.84,54.66,469079,737752,1092850,1646633,2515970,4120724,6774447,11791292,25104770,38652904
67,33.85,54.62,467794,739350,1091103,1641683,2509035,4062484,6778651,11702857,25104770,38550588
68,33.85,54.61,470696,737752,1108825,1643660,2506732,4083749,6766054,11778577,25061568,38824644
69,33.84,54.59,469725,737752,1102557,1637745,2502138,4086805,6736842,11715409,25004196,38516604
70,33.85,54.57,469725,736956,1109726,1647627,2499848,4089865,6770248,11791292,25279074,38721420
71,33.85,54.60,468114,739350,1092850,1644650,2506732,4092930,6766054,11702857,25061568,38482676
72,33.86,54.62,469079,736161,1099007,1638728,2509035,4077650,6745162,11628105,24947088,38721420
73,33.85,54.62,467794,736161,1099007,1641683,2497561,4089865,6753504,11677833,24861912,38618740
74,33.85,54.64,469079,735368,1089362,1641683,2506732,4086805,6753504,11665361,25047200,38313944
75,33.86,54.61,469079,735368,1101668,1637745,2499848,4071570,6728542,11690332,24989896,38280372
76,33.85,54.58,469079,736161,1086760,1637745,2502138,4080698,6757682,11765889,25148120,38618740
77,33.85,54.59,469402,737752,1102557,1639712,2502138,4083749,6720262,11690332,24961340,38313944
78,33.84,54.60,469079,739350,1106130,1631872,2502138,4074608,6728542,11727989,24961340,38280372
79,33.83,54.61,465878,738550,1107027,1639712,2490727,4086805,6724400,11628105,24989896,38687132
80,33.86,54.61,468436,736161,1103448,1641683,2504433,4077650,6741000,11727989,24861912,38516604
81,33.85,54.63,468114,734577,1100779,1633825,2493000,4059465,6724400,11690332,24763272,38313944
82,33.86,54.59,468114,735368,1103448,1624108,2493000,4059465,6712004,11628105,24861912,38246864
83,33.85,54.59,466196,734577,1088493,1629924,2493000,4074608,6712004,11665361,24791376,38415004
84,33.86,54.59,464926,735368,1106130,1639712,2483930,4059465,6724400,11652916,24693294,38721420
85,33.86,54.59,468114,734577,1087626,1635783,2479419,4065509,6728542,11615739,24904428,38347572
86,33.85,54.57,467153,735368,1104341,1630898,2493000,4062484,6728542,11603399,25018514,38313944
87,33.86,54.59,466196,735368,1085896,1635783,2493000,4071570,6712004,11677833,24876068,38482676
88,33.86,54.56,468114,734577,1088493,1636763,2490727,4059465,6724400,11615739,24693294,38482676
89,33.85,54.57,465878,736161,1091103,1636763,2490727,4056450,6732690,11628105,24805450,38213412
90,33.85,54.54,465878,734577,1085896,1652612,2499848,4059465,6712004,11554302,24961340,38280372
91,33.87,54.54,465560,733787,1110629,1643660,2488457,4050433,6687347,11591086,24861912,38013920
92,33.87,54.55,465243,734577,1099007,1630898,2483930,4050433,6671010,11603399,24876068,38280372
93,33.87,54.55,467473,733787,1092850,1624108,2488457,4038452,6675086,11566537,24791376,37914956
94,33.88,54.55,465560,735368,1091103,1626042,2488457,4068537,6691444,11615739,24890240,38047024
95,33.88,54.56,464610,732999,1099007,1633825,2481672,4065509,6707882,11615739,24707258,38618740
96,33.87,54.56,467473,732999,1092850,1643660,2488457,4062484,6699652,11628105,24932852,38415004
97,33.87,54.60,467153,734577,1100779,1624108,2493000,4065509,6703764,11615739,24833650,38280372
98,33.86,54.60,467153,735368,1094602,1632848,2481672,4053439,6687347,11615739,24932852,38415004
99,33.87,54.61,464926,734577,1103448,1634803,2488457,4074608,6695546,11603399,24805450,38482676
100,33.87,54.60,466196,732999,1102557,1648622,2499848,4065509,6720262,11603399,24749244,38347572
101,33.88,54.60,469079,736161,1104341,1633825,2493000,4044434,6695546,11640497,24947088,38180016
102,33.88,54.59,469079,735368,1102557,1635783,2490727,4068537,6712004,11652916,24932852,38313944
103,33.87,54.60,467794,736161,1089362,1646633,2488457,4071570,6716130,11740595,24975610,38618740
104,33.88,54.61,466515,734577,1102557,1635783,2488457,4059465,6716130,11640497,24833650,38313944
105,33.87,54.60,466515,736161,1101668,1633825,2495279,4053439,6728542,11677833,24861912,38280372
106,33.88,54.62,465560,734577,1104341,1635783,2495279,4056450,6695546,11677833,25018514,38550588
107,33.89,54.60,466515,731429,1096360,1639712,2486191,4065509,6679168,11566537,24777316,38113404
108,33.90,54.60,465878,734577,1100779,1635783,2488457,4050433,6695546,11628105,24819542,38313944
109,33.88,54.58,466515,732213,1085896,1623142,2481672,4059465,6679168,11591086,24679344,38313944
110,33.88,54.63,466834,734577,1101668,1639712,2483930,4053439,6687347,11615739,24819542,38180016
111,33.87,54.69,466515,734577,1093725,1627981,2483930,4074608,6703764,11566537,25004196,38313944
112,33.85,54.75,465878,734577,1087626,1631872,2488457,4053439,6703764,11640497,24749244,38080184
113,33.86,54.76,463978,733787,1084172,1635783,2479419,4065509,6687347,11690332,24890240,38482676
114,33.87,54.76,465243,734577,1087626,1627981,2488457,4041440,6687347,11603399,24777316,38313944
115,33.87,54.74,467153,733787,1101668,1628952,2486191,4077650,6707882,11591086,24693294,38347572
116,33.86,54.72,466515,732213,1101668,1626042,2474924,4035468,6675086,11615739,24791376,38080184
117,33.87,54.73,464926,732999,1104341,1627981,2481672,4053439,6691444,11578799,24861912,37947888
118,33.87,54.74,467153,733787,1080739,1630898,2488457,4065509,6666938,11603399,24735234,38246864
119,33.88,54.72,465243,732213,1099893,1630898,2472683,4041440,6675086,11529909,24833650,38180016
120,33.87,54.71,467153,733787,1099007,1617374,2486191,4038452,6671010,11566537,24735234,38213412
121,33.87,54.72,463034,733787,1091103,1621215,2474924,4071570,6675086,11578799,24847772,38047024
122,33.86,54.72,466515,734577,1091103,1630898,2479419,4053439,6691444,11603399,24805450,38280372
123,33.88,54.71,464294,733787,1080739,1633825,2477170,4068537,6687347,11603399,24679344,38013920
124,33.89,54.66,467473,732999,1099893,1635783,2479419,4044434,6683255,11615739,24609838,37882080
125,33.87,54.69,467153,733787,1085896,1633825,2483930,4047431,6707882,11603399,25047200,38180016
126,33.90,54.67,466196,732999,1088493,1632848,2493000,4041440,6703764,11677833,24947088,37980876
127,33.88,54.65,468114,736161,1087626,1642671,2490727,4059465,6712004,11715409,24805450,38516604
128,33.90,54.66,465560,734577,1084172,1632848,2483930,4044434,6679168,11517750,24819542,38213412
129,33.88,54.65,465243,733787,1085896,1635783,2495279,4089865,6699652,11652916,24904428,38246864
130,33.89,54.64,465878,735368,1091103,1640697,2490727,4059465,6707882,11640497,24947088,38381260
131,33.90,54.64,468436,734577,1096360,1629924,2488457,4047431,6703764,11554302,24975610,38047024
132,33.91,54.61,466196,736956,1109726,1631872,2488457,4065509,6703764,11615739,24623708,38213412
133,33.91,54.63,464926,735368,1108825,1628952,2493000,4080698,6687347,11690332,25004196,38280372
134,33.92,54.62,468757,736161,1088493,1626042,2493000,4080698,6716130,11677833,24777316,38313944
135,33.92,54.61,468436,735368,1107027,1626042,2502138,4062484,6728542,11652916,25075952,38313944
136,33.92,54.58,467153,734577,1099893,1638728,2490727,4050433,6703764,11628105,24861912,38113404
137,33.92,54.56,466834,734577,1099893,1633825,2486191,4050433,6699652,11591086,24791376,38113404
138,33.92,54.58,464610,733787,1083311,1642671,2481672,4062484,6687347,11566537,24819542,38146684
139,33.93,54.56,464926,732999,1103448,1628952,2479419,4062484,6691444,11554302,24763272,37980876
140,33.92,54.56,465243,729865,1091103,1614505,2493000,4065509,6683255,11603399,24861912,38246864
141,33.92,54.58,464610,732999,1087626,1637745,2488457,4080698,6707882,11652916,24961340,38482676
142,33.92,54.60,465878,736161,1096360,1635783,2490727,4092930,6724400,11690332,24961340,38146684
143,33.92,54.60,468436,734577,1091976,1633825,2493000,4062484,6724400,11665361,24961340,38213412
144,33.93,54.57,469079,734577,1085033,1630898,2479419,4050433,6707882,11603399,24947088,38482676
145,33.92,54.59,467153,732999,1100779,1636763,2488457,4074608,6728542,11702857,24975610,38415004
146,33.92,54.61,466196,736161,1092850,1640697,2499848,4092930,6741000,11715409,25162604,38584632
147,33.92,54.61,470696,737752,1092850,1636763,2502138,4089865,6761866,11791292,25090352,38824644
148,33.91,54.63,467153,736956,1099007,1645641,2509035,4123836,6787076,11765889,25191620,39067660
149,33.92,54.63,470048,738550,1091976,1645641,2511343,4083749,6770248,11727989,25162604,38790176
150,33.92,54.64,469725,740955,1095480,1658635,2511343,4117618,6774447,11816805,25235272,38893768
151,33.93,54.60,471998,739350,1114255,1651613,2515970,4105237,6766054,11842429,25293708,38755764
152,33.93,54.59,470372,740152,1115165,1650614,2511343,4120724,6795520,11740595,25191620,38893768
153,33.93,54.56,467794,739350,1093725,1643660,2513654,4120724,6778651,11829603,25249856,39102624
