Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
405,33.33,100.00,482677,732999,1039594,1458170,2147876,3303226,5342028,9017061,18367714,28181466
406,33.33,100.00,484390,736161,1030959,1432168,2124481,3289299,5224490,8906768,18093870,27822542
407,33.33,100.00,481656,728307,1014866,1426184,2114610,3267650,5274952,8928610,18123894,27716642
408,33.33,100.00,483703,732999,1038013,1447350,2137787,3293266,5310859,8965253,18108870,27982920
409,33.33,100.00,475947,723675,1008122,1415831,2083948,3191274,5136050,8721853,17698082,27080992
410,33.33,100.00,476279,722144,1011858,1441239,2111340,3255962,5224490,8827586,18063948,27472648
411,33.33,100.00,483019,734577,1038803,1456614,2156357,3315257,5321208,8979995,18244988,27982920
412,33.33,100.00,478952,724443,1016377,1435179,2122830,3267650,5274952,8899511,18244988,27875798
413,33.33,100.00,481996,732999,1034866,1456614,2166622,3358065,5378858,9160749,18634064,28662148
414,33.33,100.00,487155,747445,1049180,1519288,2212260,3447086,5542625,9372998,19326452,29454382
415,33.33,100.00,494208,744186,1058124,1519288,2223066,3444912,5514642,9324986,19173786,29454382
416,33.33,100.00,492071,743376,1063068,1517599,2210470,3412622,5454062,9214848,18843014,28756472
417,33.33,100.00,484390,729865,1029404,1442762,2122830,3275490,5244558,8885033,18123894,27787152
418,33.33,100.00,487155,740152,1042770,1501742,2196247,3406237,5486939,9332954,19040092,29140062
419,33.33,100.00,492071,748264,1050795,1504223,2208682,3416892,5542625,9413387,19006960,29434538
420,33.33,100.00,496726,743376,1067222,1535520,2244999,3493390,5634113,9470520,19551312,30021072
421,33.33,100.00,494925,750458,1073094,1526080,2256128,3504599,5657458,9629151,19586372,30103812
422,33.33,100.00,500734,757957,1079030,1546828,2284440,3573392,5722668,9697544,19944004,30631456
423,33.33,100.00,504061,759644,1088493,1560084,2305657,3559418,5752809,9766915,20072282,30609996
424,33.33,100.00,502947,763040,1085033,1560084,2290187,3599297,5752809,9810778,20035464,31200190
425,33.33,100.00,506304,767329,1091976,1576294,2319366,3635234,5826458,9890733,20277228,31200190
426,33.33,100.00,507433,774730,1109726,1575385,2327273,3627989,5863994,9935719,20467208,31244816
427,33.33,100.00,510469,773414,1095480,1590062,2335234,3640080,5870298,10036141,20448050,31492552
428,33.33,100.00,512000,775170,1105235,1592845,2349298,3654696,5927641,10054618,20602326,32046944
429,33.33,100.00,512384,783624,1109726,1603131,2355377,3686769,6010272,10148033,20641260,31836774
430,33.33,100.00,511233,785879,1118820,1618333,2392523,3750057,6114574,10330391,21099806,32817226
431,33.33,100.00,517433,784524,1118820,1606905,2400938,3768169,6111152,10310887,21120206,32669990
432,33.33,100.00,519007,795494,1130867,1624108,2420089,3770771,6194329,10438993,21431000,33040584
433,33.33,100.00,520590,789971,1128064,1630898,2411540,3757798,6180310,10399238,21409996,33267006
434,33.33,100.00,522183,799220,1139360,1660653,2439547,3869627,6294276,10590821,21947756,34204592
435,33.33,100.00,525398,793184,1147018,1653613,2446103,3807576,6258212,10549903,21816246,33547990
436,33.33,100.00,526208,798285,1146055,1657628,2443914,3828932,6276192,10611399,21816246,33833764
437,33.33,100.00,523384,801566,1153803,1662675,2459322,3883385,6345468,10757715,22036314,34044676
438,33.33,100.00,527020,804399,1151856,1658635,2457108,3861419,6327090,10726023,22170500,33912548
439,33.33,100.00,523384,799220,1150885,1662675,2463760,3869627,6323427,10694517,22058566,34177836
440,33.33,100.00,527020,800156,1147018,1658635,2459322,3847816,6338104,10694517,22238208,33859984
441,33.33,100.00,529062,802980,1164629,1663688,2486191,3922432,6408762,10843150,22420800,34583640
442,33.33,100.00,530707,811089,1174649,1691514,2513654,3976699,6508044,11074011,22747658,35196564
443,33.33,100.00,533194,817402,1179724,1698880,2534654,4023576,6558847,11153165,22866714,35224940
444,33.33,100.00,535285,815449,1177688,1694663,2544100,4000000,6515808,11130435,22938746,35310344
445,33.33,100.00,536969,816913,1184842,1708446,2537008,4000000,6598470,11175989,23059818,36187740
446,33.33,100.00,536969,825307,1181766,1718121,2572864,4083749,6679168,11350191,23582584,36984200
447,33.33,100.00,541226,829318,1194169,1745578,2589946,4105237,6770248,11554302,24200886,37299944
448,33.33,100.00,544681,833876,1201525,1736697,2607256,4133199,6770248,11457343,24160738,37524192
449,33.33,100.00,545551,831844,1200469,1745578,2602287,4142604,6745162,11493511,24120722,37236364
450,33.33,100.00,545116,830832,1200469,1735593,2592405,4123836,6724400,11445337,24041086,37078360
451,33.33,100.00,544247,830326,1197311,1743350,2614746,4123836,6753504,11457343,24041086,36828324
452,33.33,100.00,543813,835407,1211118,1747813,2617252,4126952,6803986,11640497,24362826,37783800
453,33.33,100.00,546425,844710,1206836,1752300,2619763,4167896,6850930,11542092,24444610,36952916
454,33.33,100.00,546425,837971,1201525,1759072,2629856,4171080,6842347,11591086,24444610,37299944
455,33.33,100.00,547740,841068,1200469,1761342,2634931,4145749,6863846,11665361,24763272,37299944
456,33.33,100.00,549062,840550,1214349,1753425,2650275,4196722,6820982,11702857,24679344,37653548
457,33.33,100.00,549504,845233,1211118,1762478,2637476,4187069,6838064,11677833,24540722,37491992
458,33.33,100.00,545551,840033,1208973,1753425,2637476,4190281,6855230,11690332,24623708,37751152
459,33.33,100.00,551279,839516,1213270,1760206,2642581,4171080,6894172,11727989,24609838,37686028
460,33.33,100.00,548180,839516,1208973,1782032,2627325,4196722,6855230,11690332,24623708,37980876
461,33.33,100.00,546425,841068,1215430,1764757,2640026,4203181,6889824,11652916,24609838,38381260
462,33.33,100.00,550834,842105,1220864,1771626,2660604,4242362,6955636,11829603,24932852,38859176
463,33.33,100.00,553514,845233,1228554,1791384,2697399,4289005,7013698,12087053,25293708,38652904
464,33.33,100.00,556219,853689,1237462,1807989,2713481,4305914,7095712,12242854,25530190,39278392
465,33.33,100.00,558952,856904,1241965,1813995,2732488,4364412,7123478,12263473,25665166,39313736
466,33.33,100.00,561250,860143,1251069,1809187,2732488,4371398,7189118,12297992,25954852,40218472
467,33.33,100.00,559869,863406,1249924,1831024,2754539,4392494,7260802,12574060,26156854,40479308
468,33.33,100.00,563566,868348,1255671,1838420,2765699,4406670,7222394,12588552,26172524,40554456
469,33.33,100.00,562637,863953,1253366,1821254,2737968,4378408,7184390,12374622,25908678,39670704
470,33.33,100.00,562637,865596,1239710,1813995,2754539,4381920,7193853,12263473,25862668,40404440
471,33.33,100.00,561250,860143,1253366,1815200,2737968,4367902,7170240,12381636,25877986,40255528
472,33.33,100.00,561711,871119,1259145,1823686,2732488,4410229,7217621,12480670,26156854,40034208
473,33.33,100.00,564966,867797,1254518,1832252,2751764,4420939,7275311,12452214,26235388,40070928
474,33.33,100.00,567313,868901,1267327,1833482,2771312,4464305,7294746,12603077,26441800,40857856
475,33.33,100.00,568731,868901,1253366,1826126,2762900,4385439,7275311,12559601,26619008,40292652
476,33.33,100.00,569680,867797,1268504,1834714,2762900,4413793,7280160,12559601,26346130,41321564
477,33.33,100.00,564498,868348,1267327,1827348,2768503,4435300,7280160,12559601,26393878,40479308
478,33.33,100.00,565902,872789,1262639,1838420,2774128,4420939,7285016,12459316,26330254,40857856
